"Date","Time","Open","High","Low","Close","Total Ticks"
04-10-2013,21:00:00,1.05439,1.05823,1.05009,1.05461,49227
04-11-2013,21:00:00,1.05461,1.05613,1.04796,1.05097,50743
04-13-2013,21:00:00,1.05097,1.05282,1.05091,1.05123,127
04-14-2013,21:00:00,1.05123,1.05243,1.02913,1.03128,91133
04-15-2013,21:00:00,1.03128,1.03976,1.02957,1.03919,84042
04-16-2013,21:00:00,1.03919,1.03948,1.02767,1.02981,78249
04-17-2013,21:00:00,1.02981,1.03378,1.02693,1.0302,74273
04-18-2013,21:00:00,1.0302,1.03588,1.02767,1.02781,61487
04-20-2013,21:00:00,1.02781,1.02865,1.02738,1.02815,129
04-21-2013,21:00:00,1.02815,1.03081,1.0236,1.0274,55424
04-22-2013,21:00:00,1.0274,1.02792,1.02213,1.02633,63920
04-23-2013,21:00:00,1.02633,1.02962,1.02317,1.02834,58652
04-24-2013,21:00:00,1.02834,1.03396,1.02721,1.02916,46128
04-25-2013,21:00:00,1.02916,1.03367,1.02629,1.02845,53702
04-27-2013,21:00:00,1.02845,1.02888,1.02838,1.02887,9
04-28-2013,21:00:00,1.02887,1.03585,1.02729,1.03517,40007
04-29-2013,21:00:00,1.03517,1.03848,1.03294,1.03722,49267
04-30-2013,21:00:00,1.03722,1.03823,1.02656,1.02784,52236
05-01-2013,21:00:00,1.02784,1.02847,1.02222,1.0249,63186
05-02-2013,21:00:00,1.0249,1.03232,1.02428,1.03178,51253
05-04-2013,21:00:00,1.03178,1.03178,1.03075,1.03138,28
05-05-2013,21:00:00,1.03138,1.03169,1.02224,1.02541,39057
05-06-2013,21:00:00,1.02541,1.02567,1.01553,1.01848,57499
05-07-2013,21:00:00,1.01848,1.02086,1.01555,1.01715,50446
05-08-2013,21:00:00,1.01715,1.02542,1.00469,1.00928,72017
05-09-2013,21:00:00,1.00928,1.00979,0.99614,1.00267,91473
05-11-2013,21:00:00,1.00267,1.00267,0.99936,1.00063,685
05-12-2013,21:00:00,1.00063,1.00194,0.99405,0.99525,125289
05-13-2013,21:00:00,0.99525,1.00039,0.98772,0.9889,134232
05-14-2013,21:00:00,0.9889,0.99197,0.98528,0.98985,133045
05-15-2013,21:00:00,0.98985,0.99135,0.97976,0.98097,166451
05-16-2013,21:00:00,0.98097,0.98309,0.97115,0.97371,138599
05-18-2013,21:00:00,0.97371,0.97654,0.97371,0.97576,150
05-19-2013,21:00:00,0.97576,0.98276,0.9738,0.98081,79863
05-20-2013,21:00:00,0.98081,0.98428,0.97517,0.98028,94100
05-21-2013,21:00:00,0.98028,0.98282,0.96621,0.96993,113323
05-22-2013,21:00:00,0.96993,0.97786,0.95938,0.97497,131531
05-23-2013,21:00:00,0.97497,0.97562,0.96341,0.96517,96939
05-25-2013,21:00:00,0.96517,0.96601,0.96284,0.96509,217
05-26-2013,21:00:00,0.96509,0.96662,0.96154,0.9635,48299
05-27-2013,21:00:00,0.9635,0.96958,0.95968,0.96163,88250
05-28-2013,21:00:00,0.96163,0.96707,0.95283,0.96376,103343
05-29-2013,21:00:00,0.96376,0.96976,0.95837,0.96626,112564
05-30-2013,21:00:00,0.96626,0.96853,0.95489,0.95757,103760
06-01-2013,21:00:00,0.95757,0.96436,0.95757,0.96256,395
06-02-2013,21:00:00,0.96256,0.9792,0.95915,0.97681,104409
06-03-2013,21:00:00,0.97681,0.97725,0.96111,0.96491,103249
06-04-2013,21:00:00,0.96491,0.96573,0.95116,0.95437,111817
06-05-2013,21:00:00,0.95437,0.96743,0.94347,0.96002,140055
06-06-2013,21:00:00,0.96002,0.96002,0.94289,0.94991,135065
06-08-2013,21:00:00,0.94991,0.94991,0.94056,0.94131,400
06-09-2013,21:00:00,0.94131,0.94812,0.93941,0.94633,101730
06-10-2013,21:00:00,0.94633,0.94738,0.93262,0.94322,136992
06-11-2013,21:00:00,0.94322,0.9564,0.9416,0.94867,114966
06-12-2013,21:00:00,0.94867,0.96581,0.94298,0.96431,117313
06-13-2013,21:00:00,0.96431,0.96664,0.9568,0.95734,111558
06-16-2013,21:00:00,0.95734,0.96417,0.95095,0.95482,77413
06-17-2013,21:00:00,0.95482,0.95746,0.94406,0.94867,85513
06-18-2013,21:00:00,0.94867,0.95588,0.92845,0.92976,108482
06-19-2013,21:00:00,0.92976,0.93134,0.91637,0.91994,146712
06-20-2013,21:00:00,0.91994,0.92593,0.91829,0.92212,118969
06-22-2013,21:00:00,0.92212,0.92242,0.92005,0.9222,197
06-23-2013,21:00:00,0.9222,0.92994,0.91483,0.92503,133465
06-24-2013,21:00:00,0.92503,0.92974,0.91976,0.92611,113893
06-25-2013,21:00:00,0.92611,0.93451,0.92362,0.92786,105763
06-26-2013,21:00:00,0.92786,0.93391,0.92627,0.92767,90293
06-27-2013,21:00:00,0.92767,0.92876,0.91137,0.91429,100415
06-29-2013,21:00:00,0.91429,0.91457,0.91121,0.91202,355
06-30-2013,21:00:00,0.91202,0.92535,0.91174,0.92388,85159
07-01-2013,21:00:00,0.92388,0.92502,0.91304,0.91485,105087
07-02-2013,21:00:00,0.91485,0.91905,0.90368,0.90885,114515
07-03-2013,21:00:00,0.90885,0.91813,0.90737,0.91483,91658
07-04-2013,21:00:00,0.91483,0.91846,0.90488,0.90721,85284
07-06-2013,21:00:00,0.90721,0.90721,0.90451,0.90613,153
07-07-2013,21:00:00,0.90613,0.91454,0.90421,0.91335,58927
07-08-2013,21:00:00,0.91335,0.9201,0.90837,0.91779,83716
07-09-2013,21:00:00,0.91779,0.92348,0.90927,0.91751,105638
07-10-2013,21:00:00,0.91751,0.93059,0.912,0.91901,139271
07-11-2013,21:00:00,0.91901,0.91929,0.8999,0.90552,92816
07-13-2013,21:00:00,0.90552,0.90794,0.90515,0.9076,152
07-14-2013,21:00:00,0.9076,0.91219,0.90361,0.90994,83691
07-15-2013,21:00:00,0.90994,0.9261,0.90866,0.92527,92954
07-16-2013,21:00:00,0.92527,0.92924,0.91919,0.92396,98640
07-17-2013,21:00:00,0.92396,0.92534,0.91381,0.91707,78672
07-18-2013,21:00:00,0.91707,0.92352,0.91556,0.9183,74853
07-20-2013,21:00:00,0.9183,0.91947,0.91757,0.91848,125
07-21-2013,21:00:00,0.91848,0.92705,0.91749,0.92502,65888
07-22-2013,21:00:00,0.92502,0.92991,0.92228,0.92967,94147
07-23-2013,21:00:00,0.92967,0.93191,0.91324,0.91674,126241
07-24-2013,21:00:00,0.91674,0.92817,0.91291,0.92443,113847
07-25-2013,21:00:00,0.92443,0.92954,0.92278,0.92699,95528
07-27-2013,21:00:00,0.92699,0.92699,0.92517,0.92601,30
07-28-2013,21:00:00,0.92601,0.92873,0.9212,0.92132,67806
07-29-2013,21:00:00,0.92058,0.92135,0.90442,0.90629,96076
07-30-2013,21:00:00,0.90629,0.9077,0.89365,0.89855,121318
07-31-2013,21:00:00,0.89855,0.89934,0.89078,0.89266,98999
08-01-2013,21:00:00,0.89266,0.89702,0.88715,0.89064,104761
08-03-2013,21:00:00,0.89064,0.89355,0.89064,0.89291,343
